odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
00276-0159,2022-2023,SSOCONTACTS,00276,DALLAS ISD,Educational Institution,Public,10,2,Active,RENEWAL,0159,L L HOTCHKISS EL,Active,RENEWAL,057-905,DALLAS,DALLAS,9400 North Central Expressway.,DALLAS,TX,75231-5491,1515 Al Lipscomb Way,DALLAS,TX,75215-2632,6929 TOWN N DR,DALLAS,TX,75231-8117,Ms.,Stephanie,Elizalde,Superintendent,selizalde@dallasisd.org,9729253700,Mr.,Michael,Rosenberger,Executive Director,MROSENBERGER@dallasisd.org,2149325502,,Janet,Li,Lead Area Supervisor,jali@dallasisd.org,2149325430,Open,2023-05-30T00:00:00.000,2023-08-11T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.740495989, 32.858660008]}",114,46,16,32,16,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01000-0113,2022-2023,SSOCONTACTS,01000,RIO GRANDE CITY ISD,Educational Institution,Public,1,5,Active,RENEWAL,0113,IMMACULATE CONCEPTION SCHOOL(214-2001),Active,RENEWAL,214-901,STARR,STARR,1 South Fort Ringgold,RIO GRANDE CITY,TX,78582-4799,1 South Fort Ringgold,RIO GRANDE CITY,TX,78582-4799,305 N. Britton Ave.,Rio Grande City,TX,78582,Mr.,Adolfo,PeÃ±a,Superintendent of Schools,apena042@rgccisd.org,9567166702,Mrs.,Patsy,Ramirez,"Director, Child Nutrition Program",paramirez@rgccisd.org,9563704657,Mrs.,Patsy,Ramirez,Program Director,paramirez@rgccisd.org,9563704657,Open,2023-06-05T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.819813075, 26.380748042]}",31,113,16,28,21,7:30 AM - 8:00 AM,"M, T, W, TH",,,Self Cancelled,2023-05-29T00:00:00.000,,,,,,,,,
00274-0112,2022-2023,SSOCONTACTS,00274,CARROLLTON-FARMERS BRANCH,Educational Institution,Public,10,2,Active,RENEWAL,0112,COUNTRY PLACE EL,Active,RENEWAL,057-903,DALLAS,DALLAS,1445 N PERRY RD,CARROLLTON,TX,75006-6134,P O BOX 115186,CARROLLTON,TX,75011-5186,2115 RAINTREE,CARROLLTON,TX,75006-4719,Dr.,John,Chapman,SUPERINTENDENT,cfbinfo@cfbisd.edu,9729686100,Mrs.,Kristen,Hess,Director of Student Nutrition,hessk@cfbisd.edu,9729686389,Mrs.,Kristen,Hess,Director - Student Nutrition,hessk@cfbisd.edu,9729686389,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:45 AM - 11:15 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.863365973, 32.966744985]}",115,46,16,24,12,7:00 AM - 7:45 AM,"M, T, W, TH",,,,,,,,,,,,,
01030-0101,2022-2023,SSOCONTACTS,01030,EAGLE MT-SAGINAW ISD,Educational Institution,Public,11,2,Active,RENEWAL,0101,L A GILILLAND EL,Active,RENEWAL,220-918,TARRANT,TARRANT,1200 OLD DECATUR RD,FORT WORTH,TX,76179-4300,1200 OLD DECATUR RD,FORT WORTH,TX,76179-9160,701 Waggoman Road,FORT WORTH,TX,76131,Dr.,JIM,CHADWELL,SUPERINTENDENT,moverman@ems-isd.net,8172320880,Mr.,Aaron,Wylie,DIRECTOR OF CHILD NUTRITION,awylie@ems-isd.net,8172320880,Mr.,Aaron,Wylie,CN Director,awylie@ems-isd.net,8172320880,Open,2023-05-31T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.338181006, 32.855424007]}",93,190,16,12,9,7:00 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00918-0105,2022-2023,SSOCONTACTS,00918,AMARILLO ISD,Educational Institution,Public,16,1,Active,RENEWAL,0105,EASTRIDGE EL,Active,RENEWAL,188-901,POTTER,POTTER,7200 I-40 W,AMARILLO,TX,79106-2598,7200 I-40 W,AMARILLO,TX,79106-2598,1314 EVERGREEN,AMARILLO,TX,79107-7535,Mr.,Doug,Loomis,SUPERINTENDENT,doug.loomis@amaisd.org,8063261000,Mr.,Shane,Newman,"EXEC DIRECTOR, FINANCE & BUDGT â€¢Chief Financial Officer",Shane.newman@amaisd.org,8063261199,,Tyler,Barfield,Computer Specialist/TDA Reporting,tyler.barfield@amaisd.org,8063261269,Closed,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-101.768052961, 35.22831301]}",87,81,16,13,31,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00916-0002,2022-2023,SSOCONTACTS,00916,LIVINGSTON ISD,Educational Institution,Public,6,3,Active,RENEWAL,0002,LIVINGSTON H S,Active,RENEWAL,187-907,POLK,POLK,1412 SOUTH HOUSTON,LIVINGSTON,TX,77351-1297,P O BOX 1297,LIVINGSTON,TX,77351-1297,400 FM RD. 350 SOUTH,LIVINGSTON,TX,77351-3398,Mr.,Craig,Davis,Chief Financial Officer,cqdaivs@livingstonisd.com,9363282100,Mr.,Craig,Davis,Chief Financial Officer,cqdavis@livingstonisd.com,9363282299,Ms.,Marissa,Flores,Food Service Secretary,mlflores@livingstonisd.com,9363282299,Open,2023-05-30T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:55 AM - 12:25 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.966359984, 30.718235001]}",9,228,16,8,3,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00520-0114,2022-2023,SSOCONTACTS,00520,GALENA PARK ISD,Educational Institution,Public,4,3,Active,RENEWAL,0114,NORMANDY CROSSING ELEMENTARY,Active,RENEWAL,101-910,HARRIS,HARRIS,14705 WOODFOREST BLVD,HOUSTON,TX,77015-3529,PO BOX 565,GALENA PARK,TX,77547-0565,12500 Normandy Crossing Dr.,Houston,TX,77015,Dr.,John,Moore,SUPERINTENDENT of SCHOOLS,ASKTed@galenaparkisd.com,8323861000,Mr.,Brian,Aubin,Director of Student Nutrition,baubin@galenaparkisd.com,8323861286,,Brian,Aubin,Director,baubin@galenaparkisd.com,8323861286,Open,2023-06-05T00:00:00.000,2023-07-19T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.208639985, 29.781988989]}",143,121,16,29,6,7:30 AM - 9:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00346-0020,2022-2023,SSOCONTACTS,00346,EL PASO ISD,Educational Institution,Public,19,1,Active,RENEWAL,0020,COLLEGE CAREER TECHNOLOGY ACADEMY (CCTA),Active,RENEWAL,071-902,EL PASO,EL PASO,1014 N. Stanton,EL PASO,TX,79902-4109,P O BOX 20100,EL PASO,TX,79998-0100,2851 Grant Ave,EL PASO,TX,79930,Ms.,Diana,Sayavedra,SUPERINTENDENT,disayave@episd.org,9152302576,Mrs.,Laura,Duran,"Director, Food and Nutrition Services",lduran@episd.org,9152302174,Mrs.,Laura,Eggemeyer,"Assistant Director, EPISD Food and Nutrition Services Dept.",leeggeme@episd.org,9152302175,Open,2023-06-12T00:00:00.000,2023-07-07T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:45 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-106.463172001, 31.785623013]}",77,205,16,16,29,7:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00090-0043,2022-2023,SSOCONTACTS,00090,NORTHSIDE ISD-SAN ANTONIO,Educational Institution,Public,20,4,Active,RENEWAL,0043,SUL ROSS MIDDLE,Active,RENEWAL,015-915,BEXAR,BEXAR,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,3630 CALLAGHAN RD,SAN ANTONIO,TX,78228-4395,Dr.,BRIAN,WOODS,SUPERINTENDENT,info@nisd.net,2103978770,Mr.,Thomas,Wherry,Director,thomas.wherry@nisd.net,2103974512,Mr.,THOMAS,WHERRY,DIRECTOR,THOMAS.WHERRY@NISD.NET,2103974512,Open,2023-06-06T00:00:00.000,2023-07-13T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.601734973, 29.457113002]}",125,44,16,20,26,8:15 AM - 9:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00528-0125,2022-2023,SSOCONTACTS,00528,SPRING ISD,Educational Institution,Public,4,3,Active,RENEWAL,0125,HOYLAND EL,Active,RENEWAL,101-919,HARRIS,HARRIS,15330 Kuykendahl,HOUSTON,TX,77090-4299,15330 Kuykendahl,HOUSTON,TX,77090-4299,2200 WITTERSHAW DR,HOUSTON,TX,77090,Dr.,Lupita,Hinojosa,SUPERINTENDENT,lhinoj1@springisd.org,2818916000,Mrs.,Shelly,Copeland,Director of Child Nutrition,scopelan@springisd.org,2818916445,Mrs.,Shelly,Copeland,Director of Child Nutrition,scopelan@springisd.org,2818916445,Open,2023-06-06T00:00:00.000,2023-07-21T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:00 AM - 2:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.433709005, 29.980015014]}",141,121,16,18,15,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00053-0001,2022-2023,SSOCONTACTS,00053,"GEORGE GERVIN YOUTH CENTER, INC.",Educational Institution,Charter,20,4,Active,RENEWAL,0001,GEORGE GERVIN ACADEMY,Active,RENEWAL,015-802,BEXAR,BEXAR,6944 Sunbelt Dr. South,SAN ANTONIO,TX,78218-3336,6903 Sunbelt Dr. South,SAN ANTONIO,TX,78218-3336,6944 SUNBELT DR,SAN ANTONIO,TX,78218-3336,Mrs.,Frances,Boynes,SUPERINTENDENT,flee@gervin-school.org,2105688800,Mrs.,Patricia,Ledon,Food Service Director,pledon@gervin-school.org,2105688800,,Patricia,Ledon,Food Service Director,pledon@gervin-school.org,2105688800,Open,2023-06-05T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.428367962, 29.491738979]}",120,44,16,35,26,8:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01020-0062,2022-2023,SSOCONTACTS,01020,FORT WORTH ISD,Educational Institution,Public,11,2,Active,RENEWAL,0062,INT'L NEWCOMER ACAD,Active,RENEWAL,220-905,TARRANT,TARRANT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,7060 Camp Bowie Blvd,Fort Worth,TX,76116,Ms.,Angelica,Ramsey,SUPERINTENDENT,karen.molinar@fwisd.org,8178141900,Ms.,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143512,Ms.,Angela,Lowe,ASSISTANT DIRECTOR,angela.lowe@fwisd.org,8178143500,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:45 AM - 11:40 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.437775031, 32.720562999]}",97,190,16,12,10,7:45 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00090-0156,2022-2023,SSOCONTACTS,00090,NORTHSIDE ISD-SAN ANTONIO,Educational Institution,Public,20,4,Active,RENEWAL,0156,CHRISTIAN EVERS EL,Active,RENEWAL,015-915,BEXAR,BEXAR,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,1715 RICHLAND HILLS DR,SAN ANTONIO,TX,78251-2979,Dr.,BRIAN,WOODS,SUPERINTENDENT,info@nisd.net,2103978770,Mr.,Thomas,Wherry,Director,thomas.wherry@nisd.net,2103974512,Mr.,Thomas,Wherry,DIRECTOR,thomas.wherry@nisd.net,2103974512,Open,2023-06-06T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.666236987, 29.455287005]}",124,44,16,20,26,7:15 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00950-0116,2022-2023,SSOCONTACTS,00950,HENDERSON ISD,Educational Institution,Public,7,2,Active,RENEWAL,0116,Boys & Girls Club of Rusk County,Active,RENEWAL,201-902,RUSK,RUSK,300 Crosby Drive,HENDERSON,TX,75652-5116,P O Box 728,HENDERSON,TX,75653-0728,710 Robertson Blvd,Henderson,TX,75652,Dr.,Thurston,Lamb,SUPERINTENDENT,tlamb@hendersonisd.org,9036555045,Mrs.,Tanya,Davis,Director of Child Nutrition Services,tadavis@hendersonisd.org,9036555014,Mrs.,Tanya,Davis,Director of Child Nutrition,tadavis@hendersonisd.org,9036555014,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:45 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-94.789382971, 32.160977]}",11,118,16,1,1,8:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00151-1066,2022-2023,SSOCONTACTS,00151,BROWNSVILLE ISD,Educational Institution,Public,1,5,Active,RENEWAL,1066,Centro Familiar Tierra Bella,Active,NEWAPP,031-901,CAMERON,CAMERON,1900 East Price Road,Brownsville,TX,78521-2417,1900 East Price Road,Brownsville,TX,78521-2417,4614 N. Expressway 83,Brownsville,TX,78520,Dr.,Rene,Gutierrez,Superintendent,rene.gutierrez@bisd.us,9565488000,Ms.,Jackie,Cruz,FNS Director,jcruz2@bisd.us,9565488450,Ms.,Joaquina,Cruz,Director of Child Nutrition,jcruz2@bisd.us,9565488450,Open,2023-07-17T00:00:00.000,2023-07-21T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:30 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.512741013, 25.970772987]}",38,144,16,34,27,8:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00569-0113,2022-2023,SSOCONTACTS,00569,MERCEDES ISD,Educational Institution,Public,1,5,Active,RENEWAL,0113,Mercedes Recreation Center,Active,RENEWAL,108-907,HIDALGO,HIDALGO,206 E 6TH Street,MERCEDES,TX,78570-0419,P O BOX 419,Mercedes,TX,78570-0419,701 Mathis Street,Mercedes,TX,78570,Dr.,Richard,Rivera,Interim Superintendent of Schools,richard.rivera@misdtx.net,9565142000,Mrs.,Martha,Marquez,Director of Child Nutrition Services,martha.marquez@misdtx.net,9568255070,Mrs.,Martha,Marquez,Director of Child Nutrition,martha.marquez@misdtx.net,9568255070,Open,2023-06-05T00:00:00.000,2023-07-13T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.922661164, 26.144768489]}",39,134,16,34,27,9:00 AM - 9:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00274-0001,2022-2023,SSOCONTACTS,00274,CARROLLTON-FARMERS BRANCH,Educational Institution,Public,10,2,Active,RENEWAL,0001,TURNER HIGH SCHOOL,Active,RENEWAL,057-903,DALLAS,DALLAS,1445 N PERRY RD,CARROLLTON,TX,75006-6134,P O BOX 115186,CARROLLTON,TX,75011-5186,1600 JOSEY LN,CARROLLTON,TX,75006-6045,Dr.,John,Chapman,SUPERINTENDENT,cfbinfo@cfbisd.edu,9729686100,Mrs.,Kristen,Hess,Director of Student Nutrition,hessk@cfbisd.edu,9729686389,Mrs.,Kristen,Hess,Director - Student Nutrition,hessk@cfbisd.edu,9729686389,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:45 AM - 12:15 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.891670989, 32.947977988]}",103,46,16,33,12,8:00 AM - 8:45 AM,"M, T, W, TH",,,,,,,,,,,,,
00386-0133,2022-2023,SSOCONTACTS,00386,FORT BEND ISD,Educational Institution,Public,4,3,Active,RENEWAL,0133,ARIZONA FLEMING EL,Active,RENEWAL,079-907,FORT BEND,FORT BEND,16431 LEXINGTON BLVD,SUGAR LAND,TX,77479-2308,16431 LEXINGTON BLVD,SUGAR LAND,TX,77479-2308,14850 BISSONNET ST,HOUSTON,TX,77083-5831,Dr.,Christie,Whitbeck,SUPERINTENDENT,Christie.Whitbeck@fortbendisd.com,2816341000,Mr.,Matthew,Antignolo,Executive Director,Matthew.Antignolo@fortbendisd.com,2816341189,,Matthew,Antignolo,Director of Child Nutrition,matthew.antignolo@fortbendisd.com,2816341189,Open,2023-06-12T00:00:00.000,2023-07-19T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:00 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.65059603, 29.677316998]}",76,137,16,7,18,7:45 AM - 8:45 AM,"M, T, W, TH",,,,,,,,,,,,,
00571-0007,2022-2023,SSOCONTACTS,00571,PHARR-SAN JUAN-ALAMO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0007,PSJA SOUTHWEST H S,Active,RENEWAL,108-909,HIDALGO,HIDALGO,601 E KELLY,PHARR,TX,78577-1615,P O BOX 1150,PHARR,TX,78577-1615,300 E RANCHO BLANCO RD,PHARR,TX,78577,Dr.,Alejandro,Elias,SUPERINTENDENT,dr.elias@psjaisd.us,9563542009,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Mr.,Juan,Contreras,Administrator for CNP,juan.contreras@psjaisd.us,9567848545,Open,2023-06-05T00:00:00.000,2023-08-18T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.18516761, 26.158438179]}",36,134,16,15,20,7:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00047-0044,2022-2023,SSOCONTACTS,00047,KILLEEN ISD,Educational Institution,Public,12,2,Active,RENEWAL,0044,MANOR MIDDLE,Active,RENEWAL,014-906,BELL,BELL,200 N W S YOUNG DRIVE,KILLEEN,TX,76543-4025,P O BOX 967,KILLEEN,TX,76540-0967,1700 S W S YOUNG DR,KILLEEN,TX,76543-5097,Dr.,John,Craft,SUPERINTENDENT,john.craft@killeenisd.org,2543360003,Mr.,Steve,Smith,Director,Steve.Smith@KilleenISD.org,2543360775,,Rachael,Hunter,Coordinator,Rachael.Hunter@KilleenISD.org,2543360775,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.718484969, 31.096708985]}",54,120,16,11,24,7:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
01122-0044,2022-2023,SSOCONTACTS,01122,LAREDO ISD,Educational Institution,Public,1,5,Active,RENEWAL,0044,MEMORIAL MIDDLE,Active,RENEWAL,240-901,WEBB,WEBB,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1702 HOUSTON STREET,LAREDO,TX,78040-4906,2002 Marcella Ave.,Laredo,TX,78040,Dr.,Sylvia G.,Rios,Superintendent of Schools,sgrios@laredoisd.org,9562731400,Mr.,Roberto,Cuellar,Child Nutrition Program Director,robcuellar@laredoisd.org,9562731600,Mr.,Roberto,Cuellar,CNP Director,robcuellar@laredoisd.org,9562731600,Open,2023-05-30T00:00:00.000,2023-06-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.494615029, 27.513803997]}",42,220,16,28,21,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00352-0001,2022-2023,SSOCONTACTS,00352,TORNILLO ISD,Educational Institution,Public,19,1,Active,RENEWAL,0001,TORNILLO H S,Active,RENEWAL,071-908,EL PASO,EL PASO,19200 COBB AVE,TORNILLO,TX,79853-0170,P O BOX 170,TORNILLO,TX,79853-0170,430 D-OIL MILL RD,Tornillo,TX,79853,Mrs.,Rosa,Vega-Barrio,SUPERINTENDENT,rvegab@tisd.us,9157653000,Mrs.,Norma,Aguirre,Child Nutrition District Manager,aguirren@tisd.us,9157653046,Mrs.,Norma,Aguirre,FOOD SERVICE DIRECTOR,aguirren@tisd.us,9157653046,Open,2023-06-09T00:00:00.000,2023-07-10T00:00:00.000,"M,T,W,TH,F",Non-Congregate - Grab-and-go at central site,"Breakfast, Lunch",11:00 AM - 12:15 PM,"M, T, W, F","{'type': 'Point', 'coordinates': [-106.089165604, 31.459780882]}",75,205,16,23,29,7:30 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00529-0007,2022-2023,SSOCONTACTS,00529,SPRING BRANCH ISD,Educational Institution,Public,4,3,Active,RENEWAL,0007,Guthrie Center for Career and Technology,Active,NEWAPP,101-920,HARRIS,HARRIS,1031 Witte Rd Bldg T2-A,HOUSTON,TX,77055-6016,1031 Witte Rd Bldg T2-A,HOUSTON,TX,77055-6016,10660 Hammerly Blvd.,Houston,TX,77043,Dr.,Jennifer,Blaine,SUPERINTENDENT,Michael.Francis@springbranchisd.com,7132511150,Mr.,Michael,Francis,Child Nutrition Director,Michael.Francis@springbranchisd.com,7132511150,,Monica,Grant,Manager,cns@springbranchisd.com,7132511150,Open,2023-06-05T00:00:00.000,2023-06-15T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.56124402, 29.813843993]}",138,121,16,38,15,8:00 AM - 9:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00047-0122,2022-2023,SSOCONTACTS,00047,KILLEEN ISD,Educational Institution,Public,12,2,Active,RENEWAL,0122,REECES CREEK EL,Active,RENEWAL,014-906,BELL,BELL,200 N W S YOUNG DRIVE,KILLEEN,TX,76543-4025,P O BOX 967,KILLEEN,TX,76540-0967,400 W STAN SCHLUETER LOOP,KILLEEN,TX,76542-3839,Dr.,John,Craft,SUPERINTENDENT,john.craft@killeenisd.org,2543360003,Mr.,Steve,Smith,Director,Steve.Smith@KilleenISD.org,2543360775,,Rachael,Hunter,Coordinator,Rachael.Hunter@KilleenISD.org,2543360775,Open,2023-06-05T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:30 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.75376398, 31.075867005]}",54,120,16,11,24,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
01123-1330,2022-2023,SSOCONTACTS,01123,UNITED ISD,Educational Institution,Public,1,5,Active,RENEWAL,1330,Iglesia Adventista Del SeptÃ­mo DÃ­a,Active,NEWAPP,240-903,WEBB,WEBB,201 Lindenwood Dr.,Laredo,TX,78045-2499,201 Lindenwood Dr.,Laredo,TX,78045-2499,3108 Columbia Dr.,Laredo,TX,78046,Mr.,David,Gonzalez,Superintendent,dhgonzalez@uisd.net,9564736219,Mr.,Raul,"Ramirez, Jr.",Child Nutrition Department Director,rramirez@uisd.net,9564736556,Mrs.,Aryana,Valdez,Operations Manager,amontemayor@uisd.net,9564736556,Open,2023-07-17T00:00:00.000,2023-07-21T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:15 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.464192996, 27.468931981]}",80,220,16,28,21,8:30 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00346-0129,2022-2023,SSOCONTACTS,00346,EL PASO ISD,Educational Institution,Public,19,1,Active,RENEWAL,0129,MACARTHUR EL-INT,Active,RENEWAL,071-902,EL PASO,EL PASO,1014 N. Stanton,EL PASO,TX,79902-4109,P O BOX 20100,EL PASO,TX,79998-0100,8101 WHITUS DR,EL PASO,TX,79925-5099,Ms.,Diana,Sayavedra,SUPERINTENDENT,disayave@episd.org,9152302576,Mrs.,Laura,Duran,"Director, Food and Nutrition Services",lduran@episd.org,9152302174,Mrs.,Laura,Eggemeyer,"Assistant Director, EPISD Food and Nutrition Services Dept.",leeggeme@episd.org,9152302175,Open,2023-06-12T00:00:00.000,2023-07-07T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:45 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-106.377959981, 31.781137018]}",79,205,16,16,29,7:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00616-0001,2022-2023,SSOCONTACTS,00616,SIERRA BLANCA ISD,Educational Institution,Public,19,1,Active,RENEWAL,0001,SIERRA BLANCA SCHOOL,Active,RENEWAL,115-902,HUDSPETH,HUDSPETH,500 SIERRA BLANCA AVE,SIERRA BLANCA,TX,79851-0308,P O BOX 308,SIERRA BLANCA,TX,79851-0308,500 sierra blanca  ave.,sierra blanca,TX,79851,Mrs.,EBBY,LOEFFLER,SUPERINTENDENT,ELOEFFLER@SIERRABLANCAISD.NET,9153693741,Mrs.,cynthia,ibarra,Cafeteria Manager,cafeteria@sierrablancaisd.net,9153692781,Ms.,Cynthia,Ibarra,Food Service manager,cafeteria@sierrablancaisd.net,9153693741,Open,2023-05-22T00:00:00.000,2023-06-23T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:50 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-105.355926028, 31.179552991]}",74,123,16,23,29,7:00 AM - 8:50 AM,"M, T, W, TH, F",,,,,P.O. BOX 308,,,,,,,,
